"month","day","hour_no","average_no_rides"
7,"Sunday",23,13
8,"Monday",0,8
8,"Monday",1,4
8,"Monday",2,3
8,"Monday",3,3
8,"Monday",4,3
8,"Monday",5,12
8,"Monday",6,39
8,"Monday",7,83
8,"Monday",8,140
8,"Monday",9,75
8,"Monday",10,36
8,"Monday",11,29
8,"Monday",12,34
8,"Monday",13,46
8,"Monday",14,36
8,"Monday",15,34
8,"Monday",16,50
8,"Monday",17,116
8,"Monday",18,139
8,"Monday",19,103
8,"Monday",20,60
8,"Monday",21,49
8,"Monday",22,28
8,"Monday",23,16
8,"Tuesday",0,9
8,"Tuesday",1,3
8,"Tuesday",2,2
8,"Tuesday",3,3
8,"Tuesday",4,3
8,"Tuesday",5,10
8,"Tuesday",6,41
8,"Tuesday",7,98
8,"Tuesday",8,157
8,"Tuesday",9,72
8,"Tuesday",10,30
8,"Tuesday",11,28
8,"Tuesday",12,38
8,"Tuesday",13,35
8,"Tuesday",14,34
8,"Tuesday",15,30
8,"Tuesday",16,48
8,"Tuesday",17,106
8,"Tuesday",18,144
8,"Tuesday",19,102
8,"Tuesday",20,73
8,"Tuesday",21,50
8,"Tuesday",22,33
8,"Tuesday",23,15
8,"Wednesday",0,11
8,"Wednesday",1,4
8,"Wednesday",2,2
8,"Wednesday",3,1
8,"Wednesday",4,3
8,"Wednesday",5,12
8,"Wednesday",6,42
8,"Wednesday",7,99
8,"Wednesday",8,166
8,"Wednesday",9,72
8,"Wednesday",10,36
8,"Wednesday",11,31
8,"Wednesday",12,34
8,"Wednesday",13,35
8,"Wednesday",14,29
8,"Wednesday",15,31
8,"Wednesday",16,54
8,"Wednesday",17,117
8,"Wednesday",18,150
8,"Wednesday",19,106
8,"Wednesday",20,71
8,"Wednesday",21,48
8,"Wednesday",22,33
8,"Wednesday",23,20
8,"Thursday",0,12
8,"Thursday",1,5
8,"Thursday",2,4
8,"Thursday",3,4
8,"Thursday",4,2
8,"Thursday",5,10
8,"Thursday",6,40
8,"Thursday",7,97
8,"Thursday",8,156
8,"Thursday",9,77
8,"Thursday",10,29
8,"Thursday",11,23
8,"Thursday",12,37
8,"Thursday",13,40
8,"Thursday",14,36
8,"Thursday",15,34
8,"Thursday",16,58
8,"Thursday",17,105
8,"Thursday",18,138
8,"Thursday",19,101
8,"Thursday",20,70
8,"Thursday",21,63
8,"Thursday",22,37
8,"Thursday",23,24
8,"Friday",0,12
8,"Friday",1,5
8,"Friday",2,3
8,"Friday",3,2
8,"Friday",4,4
8,"Friday",5,10
8,"Friday",6,40
8,"Friday",7,87
8,"Friday",8,147
8,"Friday",9,71
8,"Friday",10,39
8,"Friday",11,31
8,"Friday",12,36
8,"Friday",13,46
8,"Friday",14,43
8,"Friday",15,43
8,"Friday",16,74
8,"Friday",17,107
8,"Friday",18,119
8,"Friday",19,78
8,"Friday",20,63
8,"Friday",21,47
8,"Friday",22,36
8,"Friday",23,24
8,"Saturday",0,15
8,"Saturday",1,8
8,"Saturday",2,8
8,"Saturday",3,6
8,"Saturday",4,3
8,"Saturday",5,4
8,"Saturday",6,11
8,"Saturday",7,23
8,"Saturday",8,34
8,"Saturday",9,48
8,"Saturday",10,58
8,"Saturday",11,60
8,"Saturday",12,65
8,"Saturday",13,55
8,"Saturday",14,62
8,"Saturday",15,56
8,"Saturday",16,57
8,"Saturday",17,53
8,"Saturday",18,59
8,"Saturday",19,65
8,"Saturday",20,55
8,"Saturday",21,41
8,"Saturday",22,32
8,"Saturday",23,25
8,"Sunday",0,19
8,"Sunday",1,10
8,"Sunday",2,12
8,"Sunday",3,4
8,"Sunday",4,2
8,"Sunday",5,4
8,"Sunday",6,6
8,"Sunday",7,20
8,"Sunday",8,31
8,"Sunday",9,38
8,"Sunday",10,48
8,"Sunday",11,67
8,"Sunday",12,69
8,"Sunday",13,67
8,"Sunday",14,63
8,"Sunday",15,59
8,"Sunday",16,61
8,"Sunday",17,55
8,"Sunday",18,65
8,"Sunday",19,59
8,"Sunday",20,45
8,"Sunday",21,33
8,"Sunday",22,29
8,"Sunday",23,16
9,"Monday",0,12
9,"Monday",1,4
9,"Monday",2,6
9,"Monday",3,2
9,"Monday",4,4
9,"Monday",5,12
9,"Monday",6,32
9,"Monday",7,67
9,"Monday",8,105
9,"Monday",9,50
9,"Monday",10,35
9,"Monday",11,34
9,"Monday",12,39
9,"Monday",13,35
9,"Monday",14,42
9,"Monday",15,41
9,"Monday",16,58
9,"Monday",17,112
9,"Monday",18,121
9,"Monday",19,80
9,"Monday",20,60
9,"Monday",21,43
9,"Monday",22,25
9,"Monday",23,16
9,"Tuesday",0,9
9,"Tuesday",1,3
9,"Tuesday",2,4
9,"Tuesday",3,3
9,"Tuesday",4,3
9,"Tuesday",5,11
9,"Tuesday",6,45
9,"Tuesday",7,98
9,"Tuesday",8,181
9,"Tuesday",9,85
9,"Tuesday",10,38
9,"Tuesday",11,31
9,"Tuesday",12,38
9,"Tuesday",13,42
9,"Tuesday",14,43
9,"Tuesday",15,40
9,"Tuesday",16,57
9,"Tuesday",17,134
9,"Tuesday",18,152
9,"Tuesday",19,109
9,"Tuesday",20,70
9,"Tuesday",21,50
9,"Tuesday",22,28
9,"Tuesday",23,16
9,"Wednesday",0,7
9,"Wednesday",1,4
9,"Wednesday",2,2
9,"Wednesday",3,2
9,"Wednesday",4,3
9,"Wednesday",5,15
9,"Wednesday",6,47
9,"Wednesday",7,115
9,"Wednesday",8,201
9,"Wednesday",9,88
9,"Wednesday",10,42
9,"Wednesday",11,37
9,"Wednesday",12,34
9,"Wednesday",13,40
9,"Wednesday",14,31
9,"Wednesday",15,34
9,"Wednesday",16,50
9,"Wednesday",17,106
9,"Wednesday",18,132
9,"Wednesday",19,102
9,"Wednesday",20,71
9,"Wednesday",21,48
9,"Wednesday",22,31
9,"Wednesday",23,16
9,"Thursday",0,9
9,"Thursday",1,3
9,"Thursday",2,4
9,"Thursday",3,2
9,"Thursday",4,2
9,"Thursday",5,12
9,"Thursday",6,36
9,"Thursday",7,96
9,"Thursday",8,171
9,"Thursday",9,78
9,"Thursday",10,30
9,"Thursday",11,31
9,"Thursday",12,41
9,"Thursday",13,29
9,"Thursday",14,31
9,"Thursday",15,31
9,"Thursday",16,51
9,"Thursday",17,107
9,"Thursday",18,140
9,"Thursday",19,110
9,"Thursday",20,80
9,"Thursday",21,53
9,"Thursday",22,34
9,"Thursday",23,20
9,"Friday",0,12
9,"Friday",1,6
9,"Friday",2,3
9,"Friday",3,3
9,"Friday",4,4
9,"Friday",5,12
9,"Friday",6,40
9,"Friday",7,94
9,"Friday",8,152
9,"Friday",9,77
9,"Friday",10,34
9,"Friday",11,33
9,"Friday",12,40
9,"Friday",13,37
9,"Friday",14,42
9,"Friday",15,42
9,"Friday",16,62
9,"Friday",17,98
9,"Friday",18,98
9,"Friday",19,78
9,"Friday",20,47
9,"Friday",21,40
9,"Friday",22,34
9,"Friday",23,20
9,"Saturday",0,18
9,"Saturday",1,8
9,"Saturday",2,7
9,"Saturday",3,4
9,"Saturday",4,3
9,"Saturday",5,3
9,"Saturday",6,9
9,"Saturday",7,22
9,"Saturday",8,41
9,"Saturday",9,50
9,"Saturday",10,60
9,"Saturday",11,60
9,"Saturday",12,67
9,"Saturday",13,63
9,"Saturday",14,69
9,"Saturday",15,61
9,"Saturday",16,69
9,"Saturday",17,69
9,"Saturday",18,63
9,"Saturday",19,52
9,"Saturday",20,46
9,"Saturday",21,30
9,"Saturday",22,32
9,"Saturday",23,27
9,"Sunday",0,17
9,"Sunday",1,12
9,"Sunday",2,8
9,"Sunday",3,5
9,"Sunday",4,3
9,"Sunday",5,4
9,"Sunday",6,5
9,"Sunday",7,16
9,"Sunday",8,28
9,"Sunday",9,42
9,"Sunday",10,57
9,"Sunday",11,78
9,"Sunday",12,78
9,"Sunday",13,70
9,"Sunday",14,69
9,"Sunday",15,72
9,"Sunday",16,65
9,"Sunday",17,75
9,"Sunday",18,79
9,"Sunday",19,58
9,"Sunday",20,49
9,"Sunday",21,28
9,"Sunday",22,22
9,"Sunday",23,14
10,"Monday",0,7
10,"Monday",1,5
10,"Monday",2,2
10,"Monday",3,2
10,"Monday",4,2
10,"Monday",5,12
10,"Monday",6,35
10,"Monday",7,82
10,"Monday",8,147
10,"Monday",9,78
10,"Monday",10,35
10,"Monday",11,38
10,"Monday",12,38
10,"Monday",13,46
10,"Monday",14,45
10,"Monday",15,41
10,"Monday",16,53
10,"Monday",17,114
10,"Monday",18,115
10,"Monday",19,85
10,"Monday",20,54
10,"Monday",21,42
10,"Monday",22,24
10,"Monday",23,11
10,"Tuesday",0,8
10,"Tuesday",1,4
10,"Tuesday",2,3
10,"Tuesday",3,1
10,"Tuesday",4,1
10,"Tuesday",5,12
10,"Tuesday",6,42
10,"Tuesday",7,99
10,"Tuesday",8,178
10,"Tuesday",9,86
10,"Tuesday",10,33
10,"Tuesday",11,28
10,"Tuesday",12,41
10,"Tuesday",13,38
10,"Tuesday",14,37
10,"Tuesday",15,35
10,"Tuesday",16,49
10,"Tuesday",17,115
10,"Tuesday",18,121
10,"Tuesday",19,92
10,"Tuesday",20,62
10,"Tuesday",21,39
10,"Tuesday",22,24
10,"Tuesday",23,13
10,"Wednesday",0,6
10,"Wednesday",1,3
10,"Wednesday",2,3
10,"Wednesday",3,3
10,"Wednesday",4,3
10,"Wednesday",5,13
10,"Wednesday",6,36
10,"Wednesday",7,103
10,"Wednesday",8,194
10,"Wednesday",9,86
10,"Wednesday",10,35
10,"Wednesday",11,30
10,"Wednesday",12,38
10,"Wednesday",13,37
10,"Wednesday",14,37
10,"Wednesday",15,34
10,"Wednesday",16,54
10,"Wednesday",17,113
10,"Wednesday",18,133
10,"Wednesday",19,89
10,"Wednesday",20,68
10,"Wednesday",21,41
10,"Wednesday",22,23
10,"Wednesday",23,10
10,"Thursday",0,10
10,"Thursday",1,3
10,"Thursday",2,3
10,"Thursday",3,2
10,"Thursday",4,1
10,"Thursday",5,12
10,"Thursday",6,38
10,"Thursday",7,94
10,"Thursday",8,166
10,"Thursday",9,80
10,"Thursday",10,30
10,"Thursday",11,26
10,"Thursday",12,33
10,"Thursday",13,30
10,"Thursday",14,26
10,"Thursday",15,25
10,"Thursday",16,44
10,"Thursday",17,91
10,"Thursday",18,102
10,"Thursday",19,75
10,"Thursday",20,46
10,"Thursday",21,41
10,"Thursday",22,29
10,"Thursday",23,14
10,"Friday",0,11
10,"Friday",1,6
10,"Friday",2,3
10,"Friday",3,2
10,"Friday",4,2
10,"Friday",5,13
10,"Friday",6,39
10,"Friday",7,85
10,"Friday",8,148
10,"Friday",9,63
10,"Friday",10,27
10,"Friday",11,33
10,"Friday",12,28
10,"Friday",13,30
10,"Friday",14,29
10,"Friday",15,43
10,"Friday",16,57
10,"Friday",17,93
10,"Friday",18,99
10,"Friday",19,71
10,"Friday",20,49
10,"Friday",21,39
10,"Friday",22,19
10,"Friday",23,18
10,"Saturday",0,13
10,"Saturday",1,7
10,"Saturday",2,6
10,"Saturday",3,3
10,"Saturday",4,3
10,"Saturday",5,3
10,"Saturday",6,6
10,"Saturday",7,11
10,"Saturday",8,32
10,"Saturday",9,36
10,"Saturday",10,51
10,"Saturday",11,51
10,"Saturday",12,57
10,"Saturday",13,43
10,"Saturday",14,51
10,"Saturday",15,56
10,"Saturday",16,49
10,"Saturday",17,48
10,"Saturday",18,38
10,"Saturday",19,32
10,"Saturday",20,26
10,"Saturday",21,23
10,"Saturday",22,15
10,"Saturday",23,14
10,"Sunday",0,10
10,"Sunday",1,11
10,"Sunday",2,7
10,"Sunday",3,7
10,"Sunday",4,2
10,"Sunday",5,4
10,"Sunday",6,3
10,"Sunday",7,10
10,"Sunday",8,18
10,"Sunday",9,28
10,"Sunday",10,44
10,"Sunday",11,52
10,"Sunday",12,46
10,"Sunday",13,48
10,"Sunday",14,49
10,"Sunday",15,52
10,"Sunday",16,57
10,"Sunday",17,41
10,"Sunday",18,42
10,"Sunday",19,34
10,"Sunday",20,28
10,"Sunday",21,22
10,"Sunday",22,12
10,"Sunday",23,11
11,"Monday",0,4
11,"Monday",1,3
11,"Monday",2,1
11,"Monday",3,2
11,"Monday",4,1
11,"Monday",5,12
11,"Monday",6,34
11,"Monday",7,77
11,"Monday",8,129
11,"Monday",9,55
11,"Monday",10,21
11,"Monday",11,24
11,"Monday",12,25
11,"Monday",13,23
11,"Monday",14,26
11,"Monday",15,27
11,"Monday",16,33
11,"Monday",17,93
11,"Monday",18,91
11,"Monday",19,48
11,"Monday",20,36
11,"Monday",21,24
11,"Monday",22,15
11,"Monday",23,10
11,"Tuesday",0,5
11,"Tuesday",1,1
11,"Tuesday",3,1
11,"Tuesday",4,3
11,"Tuesday",5,9
11,"Tuesday",6,32
11,"Tuesday",7,64
11,"Tuesday",8,102
11,"Tuesday",9,43
11,"Tuesday",10,20
11,"Tuesday",11,16
11,"Tuesday",12,21
11,"Tuesday",13,22
11,"Tuesday",14,18
11,"Tuesday",15,26
11,"Tuesday",16,35
11,"Tuesday",17,73
11,"Tuesday",18,82
11,"Tuesday",19,51
11,"Tuesday",20,36
11,"Tuesday",21,23
11,"Tuesday",22,14
11,"Tuesday",23,9
11,"Wednesday",0,4
11,"Wednesday",1,4
11,"Wednesday",2,2
11,"Wednesday",3,2
11,"Wednesday",4,2
11,"Wednesday",5,11
11,"Wednesday",6,31
11,"Wednesday",7,81
11,"Wednesday",8,150
11,"Wednesday",9,58
11,"Wednesday",10,25
11,"Wednesday",11,22
11,"Wednesday",12,24
11,"Wednesday",13,23
11,"Wednesday",14,24
11,"Wednesday",15,26
11,"Wednesday",16,39
11,"Wednesday",17,75
11,"Wednesday",18,82
11,"Wednesday",19,51
11,"Wednesday",20,37
11,"Wednesday",21,26
11,"Wednesday",22,14
11,"Wednesday",23,7
11,"Thursday",0,6
11,"Thursday",1,3
11,"Thursday",2,3
11,"Thursday",3,2
11,"Thursday",4,1
11,"Thursday",5,9
11,"Thursday",6,27
11,"Thursday",7,62
11,"Thursday",8,126
11,"Thursday",9,52
11,"Thursday",10,28
11,"Thursday",11,18
11,"Thursday",12,35
11,"Thursday",13,24
11,"Thursday",14,22
11,"Thursday",15,31
11,"Thursday",16,36
11,"Thursday",17,76
11,"Thursday",18,78
11,"Thursday",19,56
11,"Thursday",20,44
11,"Thursday",21,27
11,"Thursday",22,16
11,"Thursday",23,11
11,"Friday",0,7
11,"Friday",1,4
11,"Friday",2,2
11,"Friday",3,3
11,"Friday",4,2
11,"Friday",5,9
11,"Friday",6,24
11,"Friday",7,68
11,"Friday",8,118
11,"Friday",9,55
11,"Friday",10,25
11,"Friday",11,30
11,"Friday",12,36
11,"Friday",13,36
11,"Friday",14,30
11,"Friday",15,27
11,"Friday",16,48
11,"Friday",17,69
11,"Friday",18,64
11,"Friday",19,56
11,"Friday",20,30
11,"Friday",21,24
11,"Friday",22,16
11,"Friday",23,13
11,"Saturday",0,10
11,"Saturday",1,9
11,"Saturday",2,3
11,"Saturday",3,3
11,"Saturday",4,2
11,"Saturday",5,2
11,"Saturday",6,7
11,"Saturday",7,12
11,"Saturday",8,36
11,"Saturday",9,35
11,"Saturday",10,42
11,"Saturday",11,55
11,"Saturday",12,47
11,"Saturday",13,44
11,"Saturday",14,58
11,"Saturday",15,51
11,"Saturday",16,44
11,"Saturday",17,44
11,"Saturday",18,36
11,"Saturday",19,28
11,"Saturday",20,20
11,"Saturday",21,19
11,"Saturday",22,16
11,"Saturday",23,12
11,"Sunday",0,9
11,"Sunday",1,6
11,"Sunday",2,2
11,"Sunday",3,2
11,"Sunday",4,2
11,"Sunday",5,2
11,"Sunday",6,5
11,"Sunday",7,13
11,"Sunday",8,20
11,"Sunday",9,30
11,"Sunday",10,36
11,"Sunday",11,44
11,"Sunday",12,48
11,"Sunday",13,42
11,"Sunday",14,48
11,"Sunday",15,39
11,"Sunday",16,42
11,"Sunday",17,35
11,"Sunday",18,27
11,"Sunday",19,26
11,"Sunday",20,20
11,"Sunday",21,16
11,"Sunday",22,12
11,"Sunday",23,5
12,"Monday",0,5
12,"Monday",1,1
12,"Monday",2,1
12,"Monday",3,1
12,"Monday",4,1
12,"Monday",5,5
12,"Monday",6,10
12,"Monday",7,25
12,"Monday",8,53
12,"Monday",9,32
12,"Monday",10,17
12,"Monday",11,15
12,"Monday",12,16
12,"Monday",13,17
12,"Monday",14,16
12,"Monday",15,18
12,"Monday",16,23
12,"Monday",17,49
12,"Monday",18,60
12,"Monday",19,43
12,"Monday",20,27
12,"Monday",21,18
12,"Monday",22,13
12,"Monday",23,7
12,"Tuesday",0,3
12,"Tuesday",1,3
12,"Tuesday",2,2
12,"Tuesday",3,1
12,"Tuesday",4,1
12,"Tuesday",5,9
12,"Tuesday",6,26
12,"Tuesday",7,59
12,"Tuesday",8,99
12,"Tuesday",9,42
12,"Tuesday",10,18
12,"Tuesday",11,17
12,"Tuesday",12,20
12,"Tuesday",13,27
12,"Tuesday",14,23
12,"Tuesday",15,20
12,"Tuesday",16,34
12,"Tuesday",17,64
12,"Tuesday",18,54
12,"Tuesday",19,38
12,"Tuesday",20,26
12,"Tuesday",21,16
12,"Tuesday",22,11
12,"Tuesday",23,8
12,"Wednesday",0,6
12,"Wednesday",1,2
12,"Wednesday",2,1
12,"Wednesday",4,2
12,"Wednesday",5,7
12,"Wednesday",6,20
12,"Wednesday",7,51
12,"Wednesday",8,90
12,"Wednesday",9,44
12,"Wednesday",10,19
12,"Wednesday",11,16
12,"Wednesday",12,19
12,"Wednesday",13,20
12,"Wednesday",14,17
12,"Wednesday",15,21
12,"Wednesday",16,26
12,"Wednesday",17,62
12,"Wednesday",18,70
12,"Wednesday",19,43
12,"Wednesday",20,33
12,"Wednesday",21,21
12,"Wednesday",22,16
12,"Wednesday",23,7
12,"Thursday",0,5
12,"Thursday",1,2
12,"Thursday",2,2
12,"Thursday",3,1
12,"Thursday",4,1
12,"Thursday",5,8
12,"Thursday",6,20
12,"Thursday",7,56
12,"Thursday",8,96
12,"Thursday",9,34
12,"Thursday",10,18
12,"Thursday",11,12
12,"Thursday",12,17
12,"Thursday",13,18
12,"Thursday",14,16
12,"Thursday",15,20
12,"Thursday",16,27
12,"Thursday",17,47
12,"Thursday",18,59
12,"Thursday",19,40
12,"Thursday",20,32
12,"Thursday",21,21
12,"Thursday",22,18
12,"Thursday",23,8
12,"Friday",0,5
12,"Friday",1,2
12,"Friday",2,2
12,"Friday",3,1
12,"Friday",4,2
12,"Friday",5,7
12,"Friday",6,18
12,"Friday",7,50
12,"Friday",8,88
12,"Friday",9,43
12,"Friday",10,19
12,"Friday",11,18
12,"Friday",12,25
12,"Friday",13,29
12,"Friday",14,23
12,"Friday",15,24
12,"Friday",16,31
12,"Friday",17,49
12,"Friday",18,47
12,"Friday",19,26
12,"Friday",20,22
12,"Friday",21,14
12,"Friday",22,12
12,"Friday",23,9
12,"Saturday",0,5
12,"Saturday",1,6
12,"Saturday",2,2
12,"Saturday",3,3
12,"Saturday",4,2
12,"Saturday",5,1
12,"Saturday",6,2
12,"Saturday",7,6
12,"Saturday",8,13
12,"Saturday",9,16
12,"Saturday",10,16
12,"Saturday",11,21
12,"Saturday",12,20
12,"Saturday",13,19
12,"Saturday",14,23
12,"Saturday",15,25
12,"Saturday",16,25
12,"Saturday",17,19
12,"Saturday",18,16
12,"Saturday",19,11
12,"Saturday",20,10
12,"Saturday",21,9
12,"Saturday",22,6
12,"Saturday",23,7
12,"Sunday",0,6
12,"Sunday",1,5
12,"Sunday",2,4
12,"Sunday",3,2
12,"Sunday",4,2
12,"Sunday",5,4
12,"Sunday",6,1
12,"Sunday",7,6
12,"Sunday",8,9
12,"Sunday",9,13
12,"Sunday",10,18
12,"Sunday",11,25
12,"Sunday",12,25
12,"Sunday",13,27
12,"Sunday",14,22
12,"Sunday",15,28
12,"Sunday",16,24
12,"Sunday",17,18
12,"Sunday",18,13
12,"Sunday",19,12
12,"Sunday",20,15
12,"Sunday",21,8
12,"Sunday",22,9
12,"Sunday",23,6
