"month","station_id","no_rides"
6,3199,2282
3,3216,36
4,3194,890
7,3198,426
8,358,1
4,457,2
6,3205,1087
8,3273,614
10,3207,877
10,3273,739
10,3206,499
7,3206,446
7,3194,1231
9,3279,1016
11,3213,1235
8,3268,353
10,3193,607
10,327,1
3,3203,1922
6,3201,565
4,3203,2378
7,3265,1
11,3272,1068
12,3212,136
6,3183,4289
1,3188,20
8,3188,115
11,3198,234
7,3201,552
2,3200,39
8,3190,310
4,3178,1
2,3201,153
12,3195,1906
11,3426,4
10,3268,346
10,3212,347
9,3212,501
8,3278,1408
11,3278,873
5,3196,316
4,3201,321
6,351,1
7,3186,5657
11,3281,160
9,3185,1844
6,3198,412
2,3214,740
11,2004,1
12,3186,4644
9,3278,1528
12,3185,988
9,3198,440
3,3205,644
5,3207,627
2,3198,125
10,3183,4594
2,3202,935
10,3201,568
5,3214,2101
6,3195,3595
11,3201,263
11,3205,747
3,3214,1212
5,428,1
10,3199,1574
11,3209,1145
6,3210,745
12,3269,718
7,3278,81
6,363,1
2,3199,597
11,376,2
6,3188,71
3,3210,457
9,3273,722
10,3197,318
12,224,1
6,3200,29
12,3183,2301
11,3193,365
1,3192,271
12,3213,895
7,3189,66
1,3207,228
12,3214,686
10,3188,138
1,3196,111
5,3205,886
5,3192,1445
11,3194,1072
7,3191,124
9,3190,200
12,3193,247
8,3212,503
5,3002,2
5,358,1
12,3211,958
12,3209,760
8,3187,2261
6,501,1
9,3206,562
8,327,2
6,3212,509
11,3277,23
11,3195,2384
9,514,1
6,3211,1936
10,3187,1772
4,3217,61
7,3270,354
8,3331,3
9,3195,3782
11,393,1
3,405,2
7,3210,734
11,3184,1025
3,3191,48
2,3186,2438
2,3183,1113
3,147,1
11,3199,1160
8,3206,597
11,225,1
1,3203,1190
4,3183,2749
2,3220,182
11,3214,1230
11,3186,6483
10,3184,1608
5,3211,1549
4,3211,1308
8,3217,59
1,3216,5
2,3216,8
4,3225,568
1,3193,252
10,3203,3376
7,284,1
9,3202,3377
6,3196,430
3,3225,481
5,3200,51
5,3206,346
10,3190,171
7,3212,501
1,3183,1194
8,514,1
4,3214,1654
6,3189,92
11,3210,342
1,3201,148
10,3270,1383
2,403,3
5,3191,83
2,3196,117
8,3192,1761
3,3196,208
6,514,2
10,3205,964
4,3213,1278
8,3211,2012
7,3192,1657
11,401,1
10,3280,6
11,3187,1325
8,3201,588
6,3203,2993
9,3225,919
9,426,1
7,3216,31
7,3225,1077
11,3189,62
9,3193,907
12,3200,32
11,3212,224
9,3205,1133
6,3194,1257
8,3214,2176
6,3225,1094
6,3217,70
10,3200,35
10,3276,1812
5,3201,403
4,3197,227
5,3185,1198
9,3192,1556
5,315,1
7,3267,793
11,3267,1755
1,3195,1157
11,3191,118
7,3213,1767
6,3186,5772
10,3281,219
5,3212,389
1,3214,788
10,3278,1521
3,2008,1
2,3187,502
11,3206,317
10,3216,66
2,3193,262
7,3281,4
4,3190,87
4,3210,556
3,3187,978
11,3271,35
7,3196,427
3,3217,48
9,3220,643
11,3217,36
6,3214,2650
10,3202,2702
9,347,2
9,359,1
11,3268,360
3,3199,980
11,3220,356
12,3267,1248
3,430,1
6,3213,1725
8,3281,263
10,3211,1863
6,173,1
1,534,1
1,3202,950
5,3187,1398
5,3216,25
5,3197,337
9,3213,1774
4,3202,2086
8,3274,12
9,3215,408
4,3188,58
10,3213,1490
5,3210,754
12,3271,36
4,3187,1180
8,3279,979
5,3225,876
9,3274,30
11,3002,2
5,477,1
3,3212,328
11,3274,3
11,3202,1784
3,3194,850
4,3185,1054
4,3192,1287
6,3185,1864
8,3191,128
12,3268,183
12,3203,1620
10,3192,1227
11,3279,985
7,327,3
3,3207,410
7,3188,106
11,3207,608
4,3198,268
12,3187,721
8,3275,1108
8,3272,1400
1,3211,658
8,3197,355
6,3193,851
3,3215,323
4,505,1
7,3185,1769
1,3212,240
12,3281,84
9,3201,531
2,3185,526
8,3193,972
8,3205,1172
3,3206,222
5,3209,1805
11,3269,845
4,3212,316
12,3202,1137
10,3275,1248
7,3205,1104
2,3225,209
4,3220,372
7,3197,415
1,3210,357
12,3199,553
9,3275,1279
9,3268,374
8,3314,1
8,386,1
3,3209,1439
5,3198,324
12,3272,787
2,3184,567
2,3215,174
2,3190,30
11,3188,135
12,3210,279
8,3198,419
1,3206,123
2,3188,28
6,3206,439
10,3191,131
1,3205,228
7,3200,30
9,3214,1952
2,3203,1306
6,3184,1732
4,484,1
9,3189,71
4,3196,242
12,3280,173
8,3426,2
